player,player_id,pos,team,conference,archetype,cluster,pts_per_g,ast_per_g,treb_per_g,blk_per_g,stl_per_g,ts_pct,bpm,usg_pct,readiness_score,n_seasons,height_in,weight_lbs,trend_bpm,trend_pts_per_g,Atlanta Dream_fit,Atlanta Dream_total,Chicago Sky_fit,Chicago Sky_total,Connecticut Sun_fit,Connecticut Sun_total,Dallas Wings_fit,Dallas Wings_total,Indiana Fever_fit,Indiana Fever_total,Las Vegas Aces_fit,Las Vegas Aces_total,Los Angeles Sparks_fit,Los Angeles Sparks_total,Minnesota Lynx_fit,Minnesota Lynx_total,New York Liberty_fit,New York Liberty_total,Phoenix Mercury_fit,Phoenix Mercury_total,Seattle Storm_fit,Seattle Storm_total,Washington Mystics_fit,Washington Mystics_total
Mikayla Boykin,mikayla-boykin-1,"pos    G
pos    G
Name: 1557, dtype: object",Charlotte,Conference USA,3-and-D Wing,0.0,13.725006373258104,2.521875265552421,5.784378452181473,0.687501062209684,1.668748406685474,0.4858748406685474,6.974993626741895,26.418769650879156,37.82,2,69.0,,-2.400000000000673,2.400000000000677,0.4401,-0.4195,0.4339,-0.3791,0.0275,-0.3662,0.8515,0.0117,0.2735,0.0531,0.1074,0.0167,0.6221,-0.0219,0.0088,-0.3191,0.0,-0.7553,0.2718,0.0367,0.0507,-0.4882,0.4434,-0.1039
Malia Magestro,malia-magestro-1,"pos    G
pos    G
Name: 1558, dtype: object",Youngstown State,Horizon League,Floor General,2.0,10.53704940580892,2.1607192274446936,2.816447711040905,0.1662939160300521,0.8048862776336295,0.5194818742441675,-2.6270977329459493,20.75910670332874,52.77,4,69.0,,-0.7900000000001366,0.2599999999999798,0.0754,0.4052,0.077,0.4144,-0.0048,0.2801,-0.3061,0.0719,-0.0577,0.1772,-0.0235,0.1789,-0.0567,0.2808,-0.0044,0.1292,0.0,0.3477,-0.065,0.1582,0.0184,0.4448,-0.0689,0.2464
Vanessa McManus,vanessa-mcmanus-1,"pos    G
pos    G
Name: 1562, dtype: object",Cal Poly,Big West Conference,Interior Big,3.0,15.9,1.3,4.7,0.1,0.7,0.51,-3.0,28.299999999999997,50.77,1,68.0,,0.0,0.0,0.3903,0.4979,0.372,0.5226,0.012,0.3702,-0.4777,-0.2302,-0.1639,-0.2843,-0.0329,-0.0365,-0.028,0.1671,0.0017,0.2862,0.0,0.2001,-0.0518,0.0491,0.0342,0.3802,0.2846,0.6182
Kara Dunn,kara-dunn-1,"pos    G
pos    G
Name: 1564, dtype: object",Southern California,Big Ten Conference,3-and-D Wing,0.0,14.860492326659354,1.626455147840732,5.066924097128649,0.3042446368880143,1.2037455824268426,0.5791689652442713,9.981597653917376,22.297669354070667,54.66,4,71.0,,1.90999999999974,2.279999999999903,0.9326,1.1988,0.8333,1.2095,0.0354,0.9884,0.3195,0.7749,0.1114,0.8165,0.0397,0.7723,0.5392,1.1228,0.0086,0.9138,0.0,0.4871,0.1065,0.7976,0.1063,1.0471,0.3163,0.9517
Carlie Latta,carlie-latta-1,"pos    G
pos    G
Name: 12377, dtype: object",San Diego State,Mountain West Conference,Floor General,2.0,6.17367545160038,1.6032560599048524,1.6819536359429117,0.1535504039936568,0.7819536359429115,0.5491094555606978,-0.3387600998414206,12.74201615974627,50.27,2,70.0,,2.4999999999999765,-6.299999999999939,0.0739,0.2196,0.0403,0.1982,-0.0087,0.0399,-0.3399,-0.143,-0.0593,-0.0121,-0.0466,-0.1715,-0.1066,0.0375,-0.0082,-0.2403,0.0,0.1632,-0.1301,-0.216,0.0365,0.3554,-0.3113,-0.2942
Liv Korngable,liv-korngable-1,"pos    G
pos    G
Name: 1567, dtype: object",South Dakota,Summit League,Floor General,2.0,12.5,3.8,2.3,0.1,0.9,0.574,7.1,21.0,51.72,1,70.0,,0.0,0.0,0.7319,0.8287,0.6302,0.8166,0.0134,0.4592,-0.0779,0.2,0.0777,0.4998,0.0221,0.4292,0.3358,0.6661,0.0029,0.4113,0.0,0.2702,0.0036,0.2806,0.0864,0.7253,-0.0213,0.2388
Jaelyn Glenn,jaelyn-glenn-1,"pos    G
pos    G
Name: 1568, dtype: object",Kansas State,Big 12 Conference,Floor General,2.0,8.976795345076082,2.5427496973984636,4.3876989130081325,0.258604150255926,1.8921806551807163,0.5522230328095388,8.947563540169817,14.698733491871604,38.19,4,73.0,,1.789999999999932,0.4999999999997182,0.4593,-0.3775,0.3938,-0.3866,0.0232,-0.3997,0.7776,-0.0276,0.3146,0.2021,0.1018,0.0037,0.5335,-0.0991,0.0013,-0.6636,0.0,-0.728,0.2111,-0.1127,0.0986,-0.2083,0.0928,-0.5917
Sara Bejedi,sara-bejedi-1,"pos    G
pos    G
Name: 1570, dtype: object",Florida State,Atlantic Coast Conference,Floor General,2.0,11.112230171402256,1.9515477867335471,2.8626250928521872,0.0104812597188088,0.917567699511676,0.4477877990813745,1.6714310028839132,22.882059492033115,39.42,3,67.0,,-0.200000000000177,2.850000000000781,-0.281,-0.8518,-0.2203,-0.8283,-0.0224,-0.9547,-0.147,-0.7697,0.0004,-0.6361,-0.012,-0.7238,-0.0157,-0.6558,-0.0066,-0.9631,0.0,-0.6373,-0.0446,-0.7672,-0.054,-0.922,-0.0599,-0.7252
Ellyn Stoll,ellyn-stoll-1,"pos    G
pos    G
Name: 1571, dtype: object",NJIT,America East Conference,Floor General,2.0,10.8,1.5,1.8,0.2,0.8,0.47,-3.9,22.6,46.69,1,69.0,,0.0,0.0,-0.1624,-0.2248,-0.1252,-0.2095,-0.0248,-0.4523,-0.47,-0.5243,-0.0919,-0.3725,-0.0543,-0.4912,-0.1269,-0.2505,-0.0062,-0.4072,0.0,-0.1009,-0.152,-0.5439,-0.0546,-0.3888,-0.1896,-0.3794
Jeni Levine,jeni-levine-1,"pos    G
pos    G
Name: 1573, dtype: object",UNC Greensboro,Southern Conference,Interior Big,3.0,10.754894438532348,2.552737352310551,3.3183552287987323,0.2058187267266513,1.2444106280026614,0.469019457457894,-4.497109511700961,22.996242552281444,56.31,4,66.0,,2.019999999999886,2.959999999999705,0.0136,0.6192,0.0339,0.6382,-0.0068,0.5127,-0.1691,0.4565,0.0375,0.7196,0.0238,0.7798,-0.0093,0.5979,0.0006,0.6371,0.0,0.6088,0.0124,0.6451,-0.0191,0.508,-0.0008,0.6077
Amelia Sandie,amelia-sandie-1,"pos    G
pos    G
Name: 1574, dtype: object",Nicholls State,Southland Conference,Interior Big,3.0,5.28757630762585,2.0,2.5414205576798468,0.1,0.6593686410311793,0.4461657317293154,-9.685208711492772,13.612627179376418,50.78,2,67.0,,-3.300000000000927,4.800000000001349,-0.438,-0.1334,-0.3966,-0.143,-0.0262,-0.17,-0.6281,-0.365,-0.1464,-0.232,-0.0517,-0.1711,-0.4712,-0.3548,-0.0065,-0.1197,0.0,0.2008,-0.1409,-0.2099,-0.0578,-0.1039,-0.2969,-0.2353
Hope Hassmann,hope-hassman-1,"pos    G
pos    G
Name: 3242, dtype: object",Idaho,Big Sky Conference,Floor General,2.0,12.874399058994031,3.7017277744623382,3.115428429121984,0.0767525736110687,1.0168014504704457,0.5049097977183049,0.7637992001451901,23.493062299406706,51.16,3,68.0,,2.400000000000365,2.2500000000002354,0.2288,0.4035,0.2215,0.4209,-0.0025,0.1938,-0.2417,0.0112,0.0245,0.3014,0.0216,0.3845,0.077,0.3197,0.0001,0.2319,0.0,0.2289,0.0072,0.2499,0.0161,0.3135,0.023,0.2626
