player,player_href,season_year,pos,g,mpg,pts_per_g,ast_per_g,trb_per_g,blk_per_g,stl_per_g,three_rate,inside_score,fta_per_g,fg3_pct,treb_pct,oreb_pct,blk_per_g,usg_pct,ast_pct,tov_per_g,pos_encoded,cluster,archetype,pca1,pca2
Natasha Howard,/wnba/players/h/howarna01w.html,2019,F,34,31.4,18.1,2.1,8.2,1.7,2.2,0.2039,2.6904,4.6,0.308,0.161,0.10099999999999999,1.7,0.294,0.14,2.9,0.5,0,Post Scorer,4.345292953181408,1.9848806255078268
Briann January,/wnba/players/j/januabr01w.html,2019,G,32,26.6,6.5,3.2,1.3,0.1,0.8,0.4561,0.52,1.3,0.378,0.027999999999999997,0.008,0.1,0.142,0.203,1.7,0.0,3,Floor General,-2.69934810996238,0.37904060389439914
Marine Johannes,/wnba/players/j/johanma01w.html,2019,G,19,18.2,7.2,2.4,1.8,0.2,0.4,0.6034,0.6276,1.0,0.379,0.055999999999999994,0.028999999999999998,0.2,0.17800000000000002,0.23,1.2,0.0,3,Floor General,-2.408091617232852,0.23472773615096307
Glory Johnson,/wnba/players/j/johnsgl01w.html,2019,F,28,24.1,7.3,1.4,5.1,0.6,1.4,0.4868,0.5805,0.9,0.34,0.126,0.045,0.6,0.17300000000000001,0.109,1.0,0.5,2,Stretch Big,-0.4120735165102836,-1.492784577673004
Shenise Johnson,/wnba/players/j/johnssh02w.html,2019,G,17,12.9,4.9,1.1,2.1,0.1,0.7,0.3585,0.5018,0.9,0.242,0.092,0.06,0.1,0.225,0.141,0.7,0.0,3,Floor General,-1.096825153875208,-0.7683145381565085
Alexis Jones,/wnba/players/j/jonesal01w.html,2019,G,20,12.2,4.0,1.8,1.1,0.2,0.3,0.4857,0.4131,0.8,0.333,0.052000000000000005,0.009000000000000001,0.2,0.19,0.231,1.4,0.0,3,Floor General,-2.450916516146883,0.43751002906128
Jonquel Jones,/wnba/players/j/jonesjo01w.html,2019,C,34,28.8,14.6,1.5,9.7,2.0,1.3,0.3596,1.9988,3.9,0.309,0.193,0.125,2.0,0.226,0.092,1.9,1.0,0,Post Scorer,4.5699863885256695,-0.6163729423922907
Betnijah Laney-Hamilton,/wnba/players/l/laneybe01w.html,2019,G-F,34,25.8,5.6,1.7,4.2,0.1,1.4,0.3016,0.6596,0.9,0.303,0.094,0.043,0.1,0.142,0.107,1.4,0.25,1,3-and-D Wing,-1.025548096407839,-1.2029177437068783
Crystal Langhorne,/wnba/players/l/langhcr01w.html,2019,F-C,34,17.0,5.6,1.0,3.1,0.3,0.3,0.34,0.684,1.3,0.316,0.113,0.055,0.3,0.185,0.1,1.3,0.75,1,3-and-D Wing,0.11993875247916483,-1.3609848052238032
Jantel Lavender,/wnba/players/l/lavenja01w.html,2019,F,23,26.9,10.0,1.1,6.9,0.6,0.3,0.1319,2.226,0.9,0.222,0.14300000000000002,0.08800000000000001,0.6,0.177,0.068,1.4,0.5,5,Combo Guard,1.8143224835537544,-1.4695012451037812
Camille Smith,/wnba/players/l/littlca01w.html,2019,F,29,14.7,3.9,0.8,2.4,0.3,0.4,0.2187,0.5115,1.1,0.333,0.094,0.053,0.3,0.146,0.09300000000000001,0.9,0.5,1,3-and-D Wing,-0.4678410417203355,-1.8443075941185447
Jewell Loyd,/wnba/players/l/loydje01w.html,2019,G,27,25.4,12.3,2.0,2.7,0.1,1.3,0.3333,1.2989,2.6,0.337,0.066,0.019,0.1,0.254,0.15,1.9,0.0,3,Floor General,-0.8452720741632952,1.5335762285499974
Sancho Lyttle,/wnba/players/l/lyttlsa01w.html,2019,F,20,12.5,2.9,0.3,2.9,0.3,0.6,0.0645,0.5603,0.4,0.25,0.134,0.067,0.3,0.147,0.042,0.6,0.5,2,Stretch Big,0.3234014630208035,-2.851862771830805
Marina Mabrey,/wnba/players/m/mabrema01w.html,2019,G,31,11.5,4.0,1.0,1.2,0.2,0.6,0.5952,0.3552,0.5,0.273,0.061,0.019,0.2,0.203,0.134,0.8,0.0,3,Floor General,-2.40277393578319,-0.5963734527597349
Kayla McBride,/wnba/players/m/mcbrika01w.html,2019,G,34,29.1,13.3,2.6,4.1,0.1,1.2,0.4095,1.0998,2.8,0.428,0.078,0.025,0.1,0.19899999999999998,0.15,1.7,0.0,3,Floor General,-1.192038823525292,0.9337465620634317
Brooke McCarty-Williams,/wnba/players/m/mccarbr01w.html,2019,G,34,13.1,2.4,1.9,1.3,0.0,0.5,0.5769,0.04,0.4,0.36,0.06,0.025,0.0,0.128,0.243,0.9,0.0,3,Floor General,-3.1420329273755314,-0.6862173836565191
Teaira McCowan,/wnba/players/m/mccowte01w.html,2019,C,34,22.1,10.0,0.2,9.0,1.3,0.6,0.0,1.8095,4.4,,0.23399999999999999,0.171,1.3,0.204,0.019,1.3,1.0,0,Post Scorer,5.431113204490367,-2.0171217945269957
Emma Meesseman,/wnba/players/m/meessem01w.html,2019,F,23,23.6,13.1,3.2,4.2,0.7,0.9,0.2083,2.6325,1.8,0.422,0.109,0.062,0.7,0.22,0.22699999999999998,1.0,0.5,5,Combo Guard,1.1358783068899676,0.38100994691402607
Kelsey Mitchell,/wnba/players/m/mitchke01w.html,2019,G,34,25.1,13.6,2.6,1.6,0.1,0.4,0.4882,1.0348,1.8,0.374,0.038,0.006,0.1,0.273,0.20199999999999999,1.7,0.0,3,Floor General,-1.8681819576962793,1.8080220438587358
Leilani Mitchell,/wnba/players/m/mitchle01w.html,2019,G,32,30.3,12.8,4.0,3.0,0.3,0.9,0.5684,0.8645,2.6,0.43,0.057,0.02,0.3,0.195,0.244,1.8,0.0,3,Floor General,-1.8382004142978774,1.4728809184498417
Tiffany Mitchell,/wnba/players/m/mitchti01w.html,2019,G,33,25.2,9.7,2.2,2.9,0.1,0.6,0.2414,1.107,2.8,0.29,0.066,0.032,0.1,0.20800000000000002,0.145,1.7,0.0,3,Floor General,-0.7447602127012103,0.8011642922968264
Renee Montgomery,/wnba/players/m/montgre01w.html,2019,G,34,27.9,9.5,2.6,2.2,0.2,0.9,0.7294,0.5434,1.5,0.324,0.040999999999999995,0.01,0.2,0.175,0.18,1.9,0.0,3,Floor General,-2.661148804106912,0.6920855379333699
Kaleena Mosqueda-Lewis,/wnba/players/m/mosquka01w.html,2019,F,31,14.0,5.5,0.5,1.2,0.2,0.3,0.4906,0.5484,0.5,0.341,0.051,0.024,0.2,0.21600000000000003,0.067,1.2,0.5,1,3-and-D Wing,-1.4881158934527556,-0.8721418817355817
Astou Ndour-Fall,/wnba/players/n/ndouras01w.html,2019,C-F,21,17.5,6.8,0.7,4.2,0.7,0.5,0.2857,1.0878,0.9,0.424,0.134,0.09699999999999999,0.7,0.166,0.061,0.7,0.75,2,Stretch Big,1.0498659382980817,-2.4269284529032813
Kia Nurse,/wnba/players/n/nurseki01w.html,2019,G,34,29.4,13.7,2.3,2.5,0.1,0.7,0.5094,1.0005,3.9,0.353,0.048,0.021,0.1,0.20800000000000002,0.135,1.6,0.0,3,Floor General,-1.4203573021528317,1.230620079059356
Arike Ogunbowale,/wnba/players/o/ogunbar01w.html,2019,G,33,32.1,19.1,3.2,2.4,0.0,1.1,0.2934,1.9392,5.4,0.352,0.045,0.021,0.0,0.304,0.225,2.1,0.0,3,Floor General,-0.13423743356479748,3.5539896220720872
Chiney Ogwumike,/wnba/players/o/ogwumch01w.html,2019,F-C,32,21.8,9.6,0.8,5.8,0.7,1.0,0.0127,1.9422,2.1,0.25,0.15,0.133,0.7,0.20800000000000002,0.062,1.3,0.75,2,Stretch Big,3.1202409399666196,-1.6118168233262453
Nneka Ogwumike,/wnba/players/o/ogwumnn01w.html,2019,F,32,27.9,16.1,1.8,8.8,0.5,1.9,0.1654,3.1552,2.9,0.338,0.18,0.09300000000000001,0.5,0.252,0.124,1.8,0.5,0,Post Scorer,3.004637112557296,0.5590114847056489
Candace Parker,/wnba/players/p/parkeca01w.html,2019,F-C,22,26.0,11.2,3.5,6.4,0.8,1.0,0.2813,1.5939,3.0,0.267,0.14,0.048,0.8,0.23,0.222,2.5,0.75,0,Post Scorer,1.783293091738185,1.0897820391030553
Cheyenne Parker-Tyus,/wnba/players/p/parkech01w.html,2019,F,34,19.7,8.8,0.9,5.8,1.2,0.7,0.0725,1.422,2.8,0.278,0.16399999999999998,0.11,1.2,0.20800000000000002,0.07200000000000001,1.3,0.5,0,Post Scorer,2.9082412691657202,-1.200186847152985
